时间,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交金额(元),换手率(%)
2002/1/4,0.00 ,1316.46,1316.46,1316.46,1316.46,1316.46,0,1579460.23,1589495187,0
2002/1/7,1316.46 ,1302.08,1302.08,1302.08,1302.08,-14.37,-1.0916,1597865.01,1546093181,0
2002/1/8,1302.08 ,1292.71,1292.71,1292.71,1292.71,-9.37,-0.7196,1488456.75,1476277651,0
2002/1/9,1292.71 ,1272.65,1272.65,1272.65,1272.65,-20.07,-1.5525,2172482.61,2051945748,0
2002/1/10,1272.65 ,1281.26,1281.26,1281.26,1281.26,8.62,0.677,3118194.31,3001996732,0
2002/1/11,1281.26 ,1249.81,1249.81,1249.81,1249.81,-31.45,-2.4544,1906650.9,1851079658,0
2002/1/14,1249.81 ,1205.15,1205.15,1205.15,1205.15,-44.67,-3.574,3234220.76,2976373440,0
2002/1/15,1205.15 ,1186.43,1186.43,1186.43,1186.43,-18.71,-1.5528,2969632.3,2669026806,0
2002/1/16,1186.43 ,1201.88,1201.88,1201.88,1201.88,15.44,1.3017,3246261.15,2775031985,0
2002/1/17,1201.88 ,1152.15,1152.15,1152.15,1152.15,-49.73,-4.1376,3065294.08,2530117376,0
2002/1/18,1152.15 ,1149.48,1149.48,1149.48,1149.48,-2.67,-0.2313,4511026.28,3809126096,0
2002/1/21,1149.48 ,1108.61,1108.61,1108.61,1108.61,-40.87,-3.5558,3498111.44,2764647600,0
2002/1/22,1108.61 ,1109.99,1109.99,1109.99,1109.99,1.38,0.1248,4027100.47,3395465623,0
2002/1/23,1109.99 ,1183.15,1183.15,1183.15,1183.15,73.16,6.591,5450766.7,4618075144,0
2002/1/24,1183.15 ,1189.58,1189.58,1189.58,1189.58,6.43,0.5434,7742110.11,6586593265,0
2002/1/25,1189.58 ,1189.43,1189.43,1189.43,1189.43,-0.16,-0.013,4609571.59,3912562040,0
2002/1/28,1189.43 ,1112.84,1112.84,1112.84,1112.84,-76.59,-6.4395,6257778.99,5005094981,0
2002/1/29,1112.84 ,1140.38,1140.38,1140.38,1140.38,27.54,2.4749,4105681.98,3364496081,0
2002/1/30,1140.38 ,1145.86,1145.86,1145.86,1145.86,5.48,0.4804,3442446.08,2706242937,0
2002/1/31,1145.86 ,1221.76,1221.76,1221.76,1221.76,75.91,6.6243,11012415.93,10175311636,0
2002/2/1,1221.76 ,1215.74,1215.74,1215.74,1215.74,-6.02,-0.4925,7542716.12,7101857954,0
