,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,2002-01-04,10.2,16.5,6.18,7.5,25.0,21.0,19.0,19.0,205.0,18.42,13.8,"6,437.63 ",2.33,5.33,-1.0,-2.0,-4.2,96.95,9.5,13.1,6.0,6.0,"2,174.00 ",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
1,2002-01-07,10.2,16.5,6.18,7.5,25.0,21.0,19.0,19.0,205.0,18.42,13.8,"6,437.63 ",2.33,5.33,-1.0,-2.0,-4.2,96.95,9.5,13.1,6.0,6.0,"2,174.00 ",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2,2002-01-08,10.2,16.5,6.18,7.5,25.0,21.0,19.0,19.0,205.0,18.42,13.8,"6,437.63 ",2.33,5.33,-1.0,-2.0,-4.2,96.95,9.5,13.1,6.0,6.0,"2,174.00 ",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
3,2002-01-09,10.2,16.5,6.18,7.5,25.0,21.0,19.0,19.0,205.0,18.42,13.8,"6,437.63 ",2.33,5.33,-1.0,-2.0,-4.2,96.95,9.5,13.1,6.0,6.0,"2,174.00 ",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
4,2002-01-10,10.2,16.5,6.18,7.5,25.0,21.0,19.0,19.0,205.0,18.42,13.8,"6,437.63 ",2.33,5.33,-1.0,-2.0,-4.2,96.95,9.5,13.1,6.0,6.0,"2,174.00 ",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
5,2002-01-11,10.2,16.5,6.18,7.5,25.0,21.0,19.0,19.0,205.0,18.42,13.8,"6,437.63 ",2.33,5.33,-1.0,-2.0,-4.2,96.95,9.5,13.1,6.0,6.0,"2,174.00 ",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
6,2002-01-14,10.2,16.5,6.18,7.5,25.0,21.0,19.0,19.0,205.0,18.42,13.8,"6,437.63 ",2.33,5.33,-1.0,-2.0,-4.2,96.95,9.5,13.1,6.0,6.0,"2,174.00 ",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
7,2002-01-15,10.2,16.5,6.18,7.5,25.0,21.0,19.0,19.0,205.0,18.42,13.8,"6,437.63 ",2.33,5.33,-1.0,-2.0,-4.2,96.95,9.5,13.1,6.0,6.0,"2,174.00 ",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
8,2002-01-16,10.2,16.5,6.18,7.5,25.0,21.0,19.0,19.0,205.0,18.42,13.8,"6,437.63 ",2.33,5.33,-1.0,-2.0,-4.2,96.95,9.5,13.1,6.0,6.0,"2,174.00 ",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
9,2002-01-17,10.2,16.5,6.18,7.5,25.0,21.0,19.0,19.0,205.0,18.42,13.8,"6,437.63 ",2.33,5.33,-1.0,-2.0,-4.2,96.95,9.5,13.1,6.0,6.0,"2,174.00 ",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
