date,open,close,high,low,volume,chg_amt
2002-01-04,3319.21,3265.88,3319.25,3261.85,2833260.0,-0.017975379323201934
2002-01-07,3255.65,3231.8,3255.65,3209.06,2886150.0,-0.010435166019572038
2002-01-08,3229.45,3201.57,3248.19,3197.21,3482350.0,-0.009353920415867323
2002-01-09,3191.75,3149.3,3193.03,3131.26,4178080.0,-0.016326364877232102
2002-01-10,3138.71,3159.45,3175.06,3051.92,5781930.0,0.0032229384307622764
2002-01-11,3159.28,3065.99,3159.28,3064.26,4136720.0,-0.029581097975913538
2002-01-14,3030.1,2934.39,3030.1,2933.64,6938390.0,-0.0429225144243784
2002-01-15,2914.38,2893.02,2961.52,2891.57,5519120.0,-0.014098330487767437
2002-01-16,2894.3,2938.22,2949.0,2862.11,5168250.0,0.015623811795286525
2002-01-17,2933.64,2796.46,2933.64,2777.92,5631270.0,-0.04824689778165004
2002-01-18,2764.4,2784.1,2831.16,2706.28,7769700.0,-0.004419873697460407
2002-01-21,2776.69,2682.46,2780.16,2675.02,6640750.0,-0.03650730936388775
2002-01-22,2671.28,2697.66,2781.93,2664.42,8197490.0,0.005666440506102539
2002-01-23,2691.12,2890.07,2891.76,2676.93,10022090.0,0.07132477777036407
2002-01-24,2874.51,2898.46,2950.87,2803.23,13448900.0,0.002903043870909657
2002-01-25,2890.12,2896.85,2917.54,2874.58,6094830.0,-0.0005554673861292296
2002-01-28,2877.95,2702.89,2879.78,2699.18,10641700.0,-0.06695548613148766
2002-01-29,2672.93,2770.23,2784.47,2661.91,7002140.0,0.024914073454709643
2002-01-30,2773.09,2779.39,2801.93,2741.29,5145580.0,0.0033065846518158613
2002-01-31,2847.81,2982.7,3006.39,2847.81,21290900.0,0.07314914423668502
2002-02-01,2987.67,2967.73,3018.75,2956.99,13122900.0,-0.005018942568813425
2002-02-04,2964.15,3027.54,3031.11,2944.26,9204670.0,0.02015345061713833
2002-02-05,3029.12,3041.47,3063.78,3006.16,9340150.0,0.004601095278675043
2002-02-06,3044.03,2961.8,3051.01,2961.3,8065020.0,-0.026194570388660618
2002-02-07,2957.65,3030.38,3046.99,2957.65,7839100.0,0.023154838274022527
2002-02-08,3051.61,3022.26,3064.51,3021.62,6846850.0,-0.0026795319398886905
2002-02-25,3102.25,3064.48,3104.37,3051.31,10007290.0,0.0139696783201974
2002-02-26,3062.11,3048.74,3062.11,3007.58,7112060.0,-0.0051362710802486024
2002-02-27,3048.48,3055.67,3076.09,3040.49,5645040.0,0.00227307018637217
2002-02-28,3053.61,3029.49,3076.7,3024.63,7089350.0,-0.00856767910147375
2002-03-01,3022.35,2991.26,3026.67,2990.94,6552020.0,-0.012619285754367751
2002-03-04,2984.36,3037.51,3038.05,2969.81,4896620.0,0.015461711787006144
2002-03-05,3041.94,3113.07,3129.98,3041.92,11633790.0,0.02487563826950362
2002-03-06,3127.77,3151.44,3217.28,3114.19,21951900.0,0.01232545365186131
2002-03-07,3157.68,3262.39,3263.88,3157.68,23131300.0,0.035206127992282836
2002-03-08,3291.09,3318.93,3342.27,3244.0,35823500.0,0.017330852534491573
2002-03-11,3327.34,3380.56,3380.56,3291.42,25923400.0,0.01856923767599802
2002-03-12,3382.21,3303.29,3393.44,3301.73,25864190.0,-0.022857159760513047
2002-03-13,3284.23,3267.93,3348.64,3263.69,18812400.0,-0.010704479473494646
2002-03-14,3263.95,3359.13,3359.33,3262.79,15536090.0,0.02790757451965014
2002-03-15,3373.87,3267.81,3385.42,3266.72,17882300.0,-0.02718561055987716
2002-03-18,3304.51,3283.79,3338.89,3249.35,12729700.0,0.004890125190877076
2002-03-19,3286.62,3334.75,3339.24,3266.75,12651000.0,0.015518653750696616
2002-03-20,3343.06,3356.72,3376.2,3319.5,14643790.0,0.006588200014993568
2002-03-21,3365.28,3357.02,3382.68,3340.79,15368900.0,8.93729593174831e-05
2002-03-22,3358.64,3312.76,3358.64,3295.68,10107200.0,-0.013184312276959851
2002-03-25,3303.8,3312.11,3316.29,3290.8,7272910.0,-0.00019621101438078547
2002-03-26,3313.05,3251.03,3313.05,3238.13,8743080.0,-0.018441416498848142
2002-03-27,3245.63,3257.63,3264.2,3222.05,6871120.0,0.0020301258370423857
2002-03-28,3258.1,3259.68,3288.55,3246.71,7214410.0,0.000629291847140322
2002-03-29,3257.19,3173.9,3257.19,3165.43,9220580.0,-0.026315466548863617
2002-04-01,3161.1,3179.12,3186.53,3138.1,5559450.0,0.0016446642931408676
2002-04-02,3179.25,3124.47,3187.82,3113.68,7125390.0,-0.01719029165303609
2002-04-03,3124.11,3142.7,3157.4,3123.76,6862040.0,0.005834589546387074
2002-04-04,3140.29,3217.56,3220.79,3113.47,7697390.0,0.02382028192318711
2002-04-05,3235.71,3207.22,3247.5,3192.88,7502490.0,-0.003213615286117476
2002-04-08,3205.81,3208.06,3215.79,3191.54,4683490.0,0.00026190906766612385
2002-04-09,3209.65,3263.7,3270.4,3194.92,11374590.0,0.017343815265300485
2002-04-10,3269.1,3271.02,3273.76,3246.68,11393400.0,0.002242853203419482
2002-04-11,3275.42,3216.97,3275.91,3215.15,8126450.0,-0.016523897744434513
2002-04-12,3210.81,3231.38,3245.2,3209.61,6180770.0,0.004479370339170185
2002-04-15,3233.24,3198.26,3237.38,3176.57,6971500.0,-0.010249490929571852
2002-04-16,3193.97,3193.78,3216.41,3179.95,6076700.0,-0.00140076166415489
2002-04-17,3200.53,3192.76,3212.71,3172.15,4524580.0,-0.0003193707769476864
2002-04-18,3192.89,3146.06,3193.68,3143.85,5702200.0,-0.014626843232814327
2002-04-19,3138.8,3145.47,3149.07,3082.33,8960880.0,-0.0001875361563352719
2002-04-22,3133.63,3124.57,3146.0,3114.9,6986000.0,-0.006644476024250633
2002-04-23,3122.28,3108.3,3145.28,3108.3,5146990.0,-0.0052071164992302885
2002-04-24,3110.12,3107.74,3130.95,3101.91,7560910.0,-0.00018016278994961883
2002-04-25,3108.16,3122.27,3126.01,3095.84,5032220.0,0.004675423297959353
