时间,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交金额(元),换手率(%)
2005/1/4,3067.57,3051.24,3051.24,3016.26,3025.42,-42.1541,-1.3742,1385753.37,980468922.3,0.2198
2005/1/5,3025.42,3020.72,3067.67,3017.34,3052.86,27.4438,0.9071,1233038.72,807720454.4,0.1956
2005/1/6,3052.86,3054.1,3054.1,3016.15,3028.73,-24.1326,-0.7905,1088692.61,762259679.1,0.1727
2005/1/7,3028.73,3028.69,3065.28,3019.07,3035.59,6.8596,0.2265,1177526.09,843160297.7,0.1868
2005/1/10,3035.59,3032.84,3063.66,3018.49,3062.73,27.143,0.8942,942986.64,734534698.2,0.1496
2005/1/11,3062.73,3063.83,3076.83,3054.44,3069.57,6.8401,0.2233,894784.24,636611887.2,0.142
2005/1/12,3069.57,3068.23,3068.23,3044.47,3064.34,-5.2258,-0.1702,741904.72,487468423.4,0.1177
2005/1/13,3064.34,3063.39,3081.87,3055.24,3074.37,10.021,0.327,984112.65,740139865,0.1561
2005/1/14,3074.37,3067.3,3105.58,3052.18,3055.52,-18.8461,-0.613,996042.67,671514091.3,0.158
2005/1/17,3055.52,3034.49,3036.59,2988.16,2999.02,-56.4981,-1.8491,1168350.8,785660607.6,0.1854
2005/1/18,2999.02,3000.6,3023.65,2985.7,3022.41,23.3847,0.7797,880019.15,619953917.7,0.1396
2005/1/19,3022.41,3022.15,3022.81,2997.96,3001.25,-21.1603,-0.7001,668182.81,480724264.2,0.106
2005/1/20,3001.25,2989.73,2989.73,2956.14,2969.12,-32.1237,-1.0703,1124308.99,774138650.1,0.1784
2005/1/21,2969.12,2966.22,3063.36,2936.37,3055.81,86.6881,2.9197,2195016.19,1401117048,0.3482
2005/1/24,3055.81,3114.3,3128.7,3075.84,3111.4,55.5904,1.8192,2319190.34,1655535763,0.3681
2005/1/25,3111.4,3105.48,3142.81,3079.69,3141.86,30.4564,0.9789,1919097.74,1629118506,0.3046
2005/1/26,3141.86,3143.45,3150.22,3117.27,3122.62,-19.2373,-0.6123,1580890.87,1184753282,0.2509
2005/1/27,3122.62,3111.84,3111.84,3068.37,3070.58,-52.0357,-1.6664,1393741.74,1052811149,0.2212
2005/1/28,3070.58,3057.25,3075.13,3053.04,3065.61,-4.9786,-0.1621,998258.54,722258084.9,0.1585
2005/1/31,3065.61,3058.07,3066.77,3033.33,3045.48,-20.1208,-0.6563,1322983.94,907829521.3,0.21
2005/2/1,3045.48,3045.11,3091.41,3042.73,3066.23,20.7419,0.6811,1296241.18,963632054.9,0.2058
2005/2/2,3066.23,3070.98,3221.53,3070.98,3221.21,154.9878,5.0547,3533004.3,2581634575,0.5608
2005/2/3,3221.21,3224.86,3249.31,3186.15,3196.55,-24.6683,-0.7658,3597802.6,2467156969,0.5711
2005/2/4,3196.55,3192.5,3282.99,3184.16,3266.01,69.4631,2.1731,3158026.98,2163249029,0.5013
2005/2/16,3266.01,3285.82,3315.21,3266.28,3283.88,17.8668,0.5471,2444292.43,1779961505,0.388
2005/2/17,3283.88,3291.78,3291.78,3236.77,3264.34,-19.5353,-0.5949,2033703.85,1454672157,0.3228
2005/2/18,3264.34,3263.55,3271.46,3231.47,3233.57,-30.77,-0.9426,1405920.85,1003093872,0.2232
2005/2/21,3233.57,3231.26,3299.1,3231.26,3298.47,64.9002,2.0071,1730479.7,1404011124,0.2747
2005/2/22,3298.47,3303.9,3386.49,3299.03,3382.98,84.5063,2.562,3503606.22,2574221715,0.5561
2005/2/23,3382.98,3380.88,3402.72,3361.21,3383.06,0.0865,0.0026,3436625.76,2431618896,0.5455
2005/2/24,3383.06,3382.48,3382.48,3339.86,3379.49,-3.5685,-0.1055,2654368.43,1978298946,0.4213
2005/2/25,3379.49,3379.4,3431.83,3377.2,3385.44,5.9499,0.1761,3265907.58,2471519040,0.5184
2005/2/28,3385.44,3383.59,3395.63,3361.43,3376.32,-9.1264,-0.2696,2163115.2,1718596209,0.3434
2005/3/1,3376.32,3373.67,3380.67,3333.25,3348.45,-27.8673,-0.8254,1961048.93,1533054860,0.3113
2005/3/2,3348.45,3354.13,3389.52,3299.03,3301.76,-46.6872,-1.3943,2637427.87,1982324211,0.4187
2005/3/3,3301.76,3297.75,3335.63,3291.06,3334.46,32.6965,0.9903,1560627.23,1200326206,0.2477
2005/3/4,3334.46,3335.36,3352.33,3327.91,3332.15,-2.3087,-0.0692,1682877.48,1401104785,0.2671
2005/3/7,3332.15,3340.11,3379.66,3340.11,3368.67,36.5227,1.0961,1730206.28,1419194514,0.2746
2005/3/8,3368.67,3394.09,3451.82,3383.73,3451.82,83.1499,2.4683,2812571.78,2528755597,0.4465
2005/3/9,3451.82,3460.53,3481.44,3445.9,3464.66,12.8392,0.372,2482631.05,2106805807,0.3941
2005/3/10,3464.66,3465.31,3465.52,3357,3373.54,-91.1228,-2.6301,2432318.05,1933108033,0.3861
2005/3/11,3373.54,3368.43,3411.33,3360.38,3408.84,35.3008,1.0464,2036149.15,1875458995,0.3232
2005/3/14,3408.84,3414.76,3471.21,3367.52,3420.55,11.7036,0.3433,2618045.32,2413490161,0.4156
2005/3/15,3420.55,3420.58,3425.52,3361.2,3366.68,-53.8638,-1.5747,1979337.62,1784028649,0.3142
2005/3/16,3366.68,3360.33,3360.33,3301.22,3341.12,-25.5573,-0.7591,1720828.58,1609141274,0.2732
2005/3/17,3341.12,3327.08,3346.95,3294.53,3296.17,-44.9545,-1.3455,2134096.26,1642387532,0.3388
2005/3/18,3296.17,3290.3,3309.1,3250.93,3255.28,-40.8916,-1.2406,1711033.28,1449786248,0.2716
2005/3/21,3255.28,3247.38,3284.26,3234.87,3276.52,21.2423,0.6525,1273708.44,1032570804,0.2022
2005/3/22,3276.52,3278.43,3283.52,3241.45,3249.5,-27.0207,-0.8247,2230188.77,1770906313,0.354
2005/3/23,3249.5,3251.62,3304.38,3216.4,3220.07,-29.4259,-0.9056,2103092.24,1813617667,0.3338
2005/3/24,3220.07,3211.19,3235.53,3164.17,3214.98,-5.0902,-0.1581,1771738.48,1932615226,0.2812
2005/3/25,3214.98,3212.04,3228.16,3194.45,3214.85,-0.1316,-0.0041,1208099.29,1014453502,0.1918
2005/3/28,3214.85,3211.16,3214.01,3178.05,3213.31,-1.5427,-0.048,1177947.53,993017701.3,0.187
2005/3/29,3213.31,3213.55,3243.85,3205.27,3208.44,-4.8679,-0.1515,1399580.2,1198700361,0.2222
2005/3/30,3208.44,3202.57,3202.57,3134.53,3137.46,-70.9774,-2.2122,1455813.32,1226356091,0.2311
2005/3/31,3137.46,3128.63,3171.79,3113.9,3170.35,32.8864,1.0482,1093630.76,896743456.2,0.1735
2005/4/1,3170.35,3168.78,3327.35,3153.63,3284.95,114.5951,3.6146,2594402.73,2114337935,0.4117
2005/4/4,3284.95,3255.13,3283.2,3211.97,3244.25,-40.6903,-1.2387,1897781.01,1511319461,0.3011
2005/4/5,3244.25,3240.31,3275.37,3230.93,3244.93,0.6788,0.0209,1505301.27,1238426978,0.2388
2005/4/6,3244.93,3245.13,3330.3,3232.3,3312.64,67.7079,2.0866,2829303.97,2648688361,0.4489
2005/4/7,3312.64,3321.91,3401.23,3321.91,3343.77,31.1295,0.9397,3798534.15,3123880182,0.6027
2005/4/8,3343.77,3345.33,3398.61,3325.61,3397.32,53.5516,1.6015,2779998.39,2143900669,0.4411
2005/4/11,3397.32,3400.94,3422.68,3354.43,3357.03,-40.2899,-1.1859,3350809.91,2956554031,0.5317
2005/4/12,3357.03,3351.14,3351.4,3307.01,3310.81,-46.2259,-1.377,2199346.05,1888653457,0.349
2005/4/13,3310.81,3337.92,3396.33,3337.92,3371.49,60.6809,1.8328,3336433.42,2643827311,0.5294
2005/4/14,3371.49,3382.68,3392.92,3315.57,3324.93,-46.5564,-1.3809,2545010.58,1953768400,0.4038
2005/4/15,3324.93,3309.69,3318.95,3278.48,3304.31,-20.6263,-0.6204,1991437.58,1653683746,0.316
2005/4/18,3304.31,3296.73,3296.73,3243.39,3261.32,-42.9833,-1.3008,1354846.49,1167793634,0.215
2005/4/19,3261.32,3260.77,3283.49,3238.58,3267.54,6.2198,0.1907,1693620.76,1312028739,0.2687
2005/4/20,3267.54,3257.5,3257.64,3209.03,3222.53,-45.0131,-1.3776,1726430.55,1353311760,0.2739
2005/4/21,3222.53,3220.64,3233.2,3190.92,3207.56,-14.9719,-0.4646,1762668.17,1517211726,0.2797
2005/4/22,3207.56,3212.85,3216.51,3167.07,3176.92,-30.6376,-0.9552,2100135.57,1605206648,0.3332
2005/4/25,3176.92,3164.38,3164.38,3127.75,3160.62,-16.3023,-0.5131,2460538.73,1877876394,0.3904
2005/4/26,3160.62,3156.17,3196.47,3135.91,3180.19,19.5687,0.6191,2417410.08,1996066166,0.3836
2005/4/27,3180.19,3189.91,3189.91,3157.49,3163.01,-17.1732,-0.54,2028688.37,1612973755,0.3219
2005/4/28,3163.01,3158.74,3213.96,3127.79,3204.73,41.7205,1.319,2707730.59,2041205341,0.4296
2005/4/29,3204.73,3200.18,3202.43,3149.08,3156.67,-48.0606,-1.4997,1884017.04,1612208053,0.2989
2005/5/9,3156.67,3159.35,3168.84,3030.65,3031.5,-125.1763,-3.9655,1608610.46,1296671203,0.2552
2005/5/10,3031.5,3017.39,3068.53,2981.44,3067.98,36.4856,1.2036,1801028.41,1260562113,0.2858
2005/5/11,3067.98,3064.15,3073.13,2994.42,3000.6,-67.3774,-2.1961,1525426.82,1173458404,0.242
2005/5/12,3000.6,2994.32,2994.32,2927.81,2930.79,-69.8172,-2.3268,1853886.64,1414072480,0.2942
2005/5/13,2930.79,2921.6,2963.44,2866.19,2921.5,-9.2838,-0.3168,2073064.6,1520116295,0.3289
2005/5/16,2921.5,2914.46,2914.46,2865.38,2889.02,-32.4872,-1.112,1337088.06,950067546.7,0.2122
2005/5/17,2889.02,2884.18,2935.15,2866.13,2903.99,14.9774,0.5184,1667515.22,1123330723,0.2646
2005/5/18,2903.99,2900.75,2932.2,2847.26,2883.77,-20.224,-0.6964,1595353.41,1224189102,0.2531
2005/5/19,2883.77,2881.01,2909.42,2845.66,2898.29,14.5243,0.5037,1396566.59,908436962.7,0.2202
2005/5/20,2898.29,2897.77,2932.57,2879.07,2900.83,2.5382,0.0876,1216592.03,817274047.7,0.1891
2005/5/23,2900.83,2895.79,2895.79,2832.57,2840.97,-59.8614,-2.0636,1255693.01,860672389.3,0.1955
2005/5/24,2840.97,2833.56,2880.53,2815.96,2869.58,28.6063,1.0069,1745806.62,1198593988,0.2718
2005/5/25,2869.58,2866.51,2891.18,2840.85,2869.65,0.0731,0.0025,1457794.56,970056413.2,0.227
2005/5/26,2869.65,2866.32,2882.05,2831.76,2839.55,-30.0989,-1.0489,1102288.56,696789248.7,0.1716
2005/5/27,2839.55,2834.63,2866.36,2803.27,2806.11,-33.438,-1.1776,1344245.54,898170164.6,0.2071
2005/5/30,2806.11,2802.39,2810.64,2756.21,2794.2,-11.9178,-0.4247,1445020.18,1001600504,0.2226
2005/5/31,2794.2,2797.39,2805.97,2779.14,2801.66,7.4694,0.2673,1297265.06,887992866.3,0.1999
2005/6/1,2801.66,2801.12,2801.12,2713.62,2716.79,-84.8794,-3.0296,1702838.55,1163997966,0.2624
2005/6/2,2716.79,2710.26,2710.26,2602,2630.61,-86.1781,-3.1721,2342961,1608580897,0.361
2005/6/3,2630.61,2622.8,2645.68,2590.53,2627.02,-3.5825,-0.1362,1823794.15,1244768810,0.281
2005/6/6,2627.02,2621.89,2730.26,2604.23,2729.2,102.1738,3.8893,2160454.01,1435650754,0.3329
2005/6/7,2729.2,2740.1,2812.88,2706.14,2709.48,-19.7222,-0.7226,3248897.39,2452382271,0.5005
2005/6/8,2709.48,2738.33,2951.07,2738.33,2936.57,227.0925,8.3814,6407787.81,4436186521,0.9872
2005/6/9,2936.57,2945.77,2989.12,2898.81,2951.14,14.575,0.4963,6096726.37,4425656612,0.9393
2005/6/10,2951.14,2949.5,2949.5,2861.27,2882.27,-68.8754,-2.3339,4263600.5,2867590658,0.6569
2005/6/13,2882.27,2880.49,2900.82,2823.35,2879.77,-2.5009,-0.0868,2950213.62,1948618670,0.4545
2005/6/14,2879.77,2890.27,2917.39,2850.15,2853.52,-26.2438,-0.9113,2903609.55,1858411845,0.4474
2005/6/15,2853.52,2848.42,2848.42,2786.32,2795.06,-58.4674,-2.049,2357610.06,1569035870,0.3632
2005/6/16,2795.06,2795.76,2824.38,2772.06,2823.81,28.7589,1.0289,2080393.23,1398808435,0.3205
2005/6/17,2823.81,2834.47,2845.82,2778.91,2790.65,-33.1697,-1.1746,3276399.81,2160427077,0.5048
2005/6/20,2790.65,2788.94,2881.73,2734.92,2868.04,77.399,2.7735,4567498.66,3316581832,0.7037
2005/6/21,2868.04,2870.59,2876.9,2824.28,2829.62,-38.4225,-1.3397,2927092.89,2049473588,0.451
2005/6/22,2829.62,2823.87,2845.36,2807.8,2842.46,12.8352,0.4536,2382721.17,1658163412,0.3671
2005/6/23,2842.46,2838.29,2880.37,2834.52,2839.51,-2.9513,-0.1038,2498484.97,1873617158,0.3849
2005/6/24,2839.51,2833.36,2849.97,2815.14,2848.34,8.8359,0.3112,1733935,1211586145,0.2671
2005/6/27,2848.34,2872.15,2940.33,2872.15,2914.97,66.6245,2.3391,3767148.8,2640710940,0.5804
2005/6/28,2914.97,2909.2,2909.2,2859.74,2870.25,-44.7205,-1.5342,2342801.29,1600309072,0.3609
2005/6/29,2870.25,2876.96,2882.29,2846.32,2847.8,-22.4438,-0.7819,1797713.35,1230653062,0.2676
2005/6/30,2847.8,2841.84,2841.84,2756.92,2760.23,-87.571,-3.075,2267096.03,1508439364,0.3289
2005/7/1,2760.23,2749.93,2762.56,2720.21,2728.72,-31.5068,-1.1415,1866724,1188979615,0.2708
2005/7/4,2728.72,2714.27,2737.81,2693.57,2737.22,8.5003,0.3115,1729445.92,1000804142,0.2509
2005/7/5,2737.22,2732.37,2744.67,2713.01,2716.56,-20.667,-0.755,1273476.64,827950784,0.1848
2005/7/6,2716.56,2716.4,2739.01,2680.83,2696.5,-20.0611,-0.7385,1220604.42,780451499.9,0.1763
2005/7/7,2696.5,2695.09,2711.27,2683.8,2697.94,1.4466,0.0536,1034513.56,653635230.9,0.1495
2005/7/8,2697.94,2687.53,2688.5,2636.26,2650.61,-47.3356,-1.7545,1375106.43,837819358.2,0.1987
2005/7/11,2650.61,2676.92,2722.62,2645.96,2651.8,1.1974,0.0452,1598764.9,1054386271,0.231
2005/7/12,2651.8,2648.94,2750.99,2637.24,2742.87,91.0611,3.4339,2572898.64,1653880863,0.3717
2005/7/13,2742.87,2739.51,2751.2,2709.52,2734.37,-8.4994,-0.3099,1706148.01,1112712914,0.2465
2005/7/14,2734.37,2731.5,2761.96,2726.34,2738,3.6363,0.133,1811358.88,1139757480,0.2617
2005/7/15,2738,2738.49,2754.28,2706.54,2716.67,-21.3303,-0.779,1536396.28,979776083.3,0.222
2005/7/18,2716.67,2711.63,2714.46,2657.8,2676.39,-40.2784,-1.4826,1666268.85,944711324.9,0.2407
2005/7/19,2676.39,2674.43,2716.58,2669.96,2684.76,8.3675,0.3126,1385832.9,835383517.2,0.1961
2005/7/20,2684.76,2689.94,2724.5,2678.35,2716.51,31.7509,1.1826,1626512.8,934432742.9,0.2285
2005/7/21,2716.51,2722.67,2725.37,2694.73,2724.26,7.7522,0.2854,1621263.7,961450081.4,0.2278
2005/7/22,2724.26,2733.89,2807.59,2722.79,2782.89,58.6252,2.152,4177735.07,2370302260,0.5847
2005/7/25,2782.89,2781.57,2790.32,2748.12,2758.67,-24.219,-0.8703,2661425.6,1490580968,0.3725
2005/7/26,2758.67,2757.37,2842.17,2754.86,2831.56,72.8929,2.6423,4058895.78,2419246893,0.5681
2005/7/27,2831.56,2832.08,2886.52,2828.05,2886.52,54.9542,1.9408,3750982.41,2191330497,0.525
2005/7/28,2886.52,2884.1,2929.16,2876.4,2893.59,7.0737,0.2451,3998405.41,2635371019,0.5596
2005/7/29,2893.59,2887.08,2900.05,2871.08,2887.57,-6.0194,-0.208,2659203.28,1653076819,0.3722
2005/8/1,2887.57,2886.74,2921.75,2869.94,2890.82,3.2499,0.1125,2356645.82,1355112732,0.3298
2005/8/2,2890.82,2894.42,2941.5,2878.86,2940.23,49.4052,1.709,2705498.69,1522523574,0.3787
2005/8/3,2940.23,2946.37,3026.06,2945.01,2989.4,49.1701,1.6723,5507994.39,3198285075,0.7709
2005/8/4,2989.4,2986.73,2997.89,2959.17,2969.31,-20.0857,-0.6719,2646702.83,1676085180,0.3704
2005/8/5,2969.31,2970.58,3047.33,2970,3047.33,78.0199,2.6275,3778612.88,2370592710,0.5289
2005/8/8,3047.33,3063.76,3089.86,3051.42,3061.79,14.4561,0.4744,4454170.89,2882051913,0.6234
2005/8/9,3061.79,3061.32,3063.24,3021.64,3062.84,1.0478,0.0342,3738706.82,2378803514,0.5233
2005/8/10,3062.84,3060.24,3074.41,3017.88,3062.94,0.1065,0.0035,3581525.72,2202537810,0.5013
