时间,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交金额(元),换手率(%),,,
2005-01-04,0,996.68,996.68,984.8,986.93,986.93,0,2323800,133000000,0,,,
2005-01-05,986.93,986.57,1008.86,985.68,1003.63,16.7,1.6921,3486100,192000000,0,,,
2005-01-06,1003.63,1003.49,1003.49,990.79,994.6,-9.03,-0.8997,2933900,163000000,0,,,
2005-01-07,994.6,993.43,1009,990.45,997.61,3.01,0.3026,3391600,191000000,0,,,
2005-01-10,997.61,996.93,1006.46,993.12,1006.34,8.73,0.8751,2949400,165000000,0,,,
2005-01-11,1006.34,1006.21,1009.5,999.86,1008.34,2,0.1987,3136100,178000000,0,,,
2005-01-12,1008.34,1008.01,1008.74,998.36,1008.62,0.28,0.0278,3196400,183000000,0,,,
2005-01-13,1008.62,1008.1,1014.84,1005.35,1013.07,4.45,0.4412,4715700,272000000,0,,,
2005-01-14,1013.07,1012.7,1019.48,999.27,1000.17,-12.9,-1.2734,4016900,228000000,0,,,
2005-01-17,1000.17,990.99,991.02,974.33,977.52,-22.65,-2.2646,4358600,242000000,0,,,
2005-01-18,977.52,977.6,991.84,974.15,991.42,13.9,1.422,4516100,252000000,0,,,
2005-01-19,991.42,991.29,991.29,981.23,986.24,-5.18,-0.5225,4255200,230000000,0,,,
2005-01-20,986.24,983.2,983.2,966.89,972.46,-13.78,-1.3972,4652000,259000000,0,,,
2005-01-21,972.46,971.5,989.72,951.43,988.52,16.06,1.6515,6185300,341000000,0,,,
2005-01-24,988.52,1009.95,1009.95,998.37,1008.18,19.66,1.9888,7323400,411000000,0,,,
2005-01-25,1008.18,1006,1006,989.95,999.55,-8.63,-0.856,4694800,265000000,0,,,
2005-01-26,999.55,997.64,997.64,985.67,987.96,-11.59,-1.1595,4113900,224000000,0,,,
2005-01-27,987.96,986.15,986.15,970.35,971.37,-16.59,-1.6792,4123200,221000000,0,,,
2005-01-28,971.37,971.37,971.94,949.11,952.41,-18.96,-1.9519,4072400,211000000,0,,,
2005-01-31,952.41,948.44,948.44,921.58,922.65,-29.76,-3.1247,4095100,206000000,0,,,
2005-02-01,922.65,919.8,929.69,911.93,913.33,-9.32,-1.0101,4199700,208000000,0,,,
2005-02-02,913.33,913.03,964.42,913.03,964.24,50.91,5.5741,6553600,352000000,0,,,
2005-02-03,964.24,963.75,967.94,944.76,945.31,-18.93,-1.9632,6371300,348000000,0,,,
2005-02-04,945.31,944.45,963.81,943.47,962.03,16.72,1.7687,5193000,287000000,0,,,
2005-02-16,962.03,967.43,979.3,965.94,972.34,10.31,1.0717,4693300,256000000,0,,,
2005-02-17,972.34,971.84,977.44,964.32,977.27,4.93,0.507,4032000,208000000,0,,,
2005-02-18,977.27,977.12,977.12,964.55,964.77,-12.5,-1.2791,4112800,213000000,0,,,
2005-02-21,964.77,965,981.89,964.47,981.82,17.05,1.7673,4765200,257000000,0,,,
2005-02-22,981.82,982.42,1008.67,980.51,1007.69,25.87,2.6349,9575800,533000000,0,,,
2005-02-23,1007.69,1008.29,1023.33,1002.8,1019.26,11.57,1.1482,10201800,582000000,0,,,
2005-02-24,1019.26,1018.29,1024.87,1012.45,1024.45,5.19,0.5092,8683200,487000000,0,,,
2005-02-25,1024.45,1024.5699,1035.47,1023.74,1024.12,-0.33,-0.0322,9650800,561000000,0,,,
2005-02-28,1024.12,1023.19,1026.04,1014.94,1020.85,-3.27,-0.3193,7028100,417000000,0,,,
2005-03-01,1020.85,1020.6,1023.96,1011.56,1021.16,0.31,0.0304,6675600,380000000,0,,,
