time,000001.SH,399001.SZ,399006.SZ,000300.SH,000016.SH,000905.SH
2012-01-04,2169.39,8695.987,707.107,2298.753,1595.12,3192.234
2012-01-05,2148.452,8600.259,666.905,2276.385,1596.593,3074.368
2012-01-06,2163.395,8634.418,669.017,2290.601,1608.358,3087.546
2012-01-09,2225.89,8946.085,692.418,2368.57,1659.054,3212.904
2012-01-10,2285.744,9281.245,716.453,2447.349,1704.744,3345.391
2012-01-11,2276.046,9239.213,717.936,2435.608,1694.264,3346.742
2012-01-12,2275.01,9200.926,709.89,2435.219,1701.452,3345.812
2012-01-13,2244.58,9030.588,666.078,2394.334,1685.913,3233.701
2012-01-16,2206.193,8827.474,633.908,2345.649,1661.994,3130.558
2012-01-17,2298.376,9264.09,662.69,2460.601,1736.606,3304.88
2012-01-18,2266.384,9115.269,624.911,2422.189,1714.699,3237.852
2012-01-19,2296.075,9300.217,632.799,2468.35,1750.521,3270.765
2012-01-20,2319.118,9466.144,646.383,2504.086,1775.091,3315.603
2012-01-30,2285.038,9274.852,651.246,2460.72,1742.818,3292.409
2012-01-31,2292.61,9303.649,648.681,2464.26,1744.708,3294.494
2012-02-01,2268.08,9193.388,650.776,2428.994,1713.684,3266.234
2012-02-02,2312.556,9382.127,665.402,2486.238,1761.941,3328.153
2012-02-03,2330.405,9436.992,680.045,2506.09,1772.192,3383.05
2012-02-06,2331.136,9448.642,686.508,2504.322,1764.818,3412.405
2012-02-07,2291.902,9266.714,673.679,2457.954,1732.024,3356.838
2012-02-08,2347.53,9557.575,692.303,2528.236,1782.059,3445.52
2012-02-09,2349.589,9560.727,697.79,2529.231,1778.097,3469.846
2012-02-10,2351.981,9590.954,698.854,2533.624,1778.317,3488.229
2012-02-13,2351.855,9585.076,714.956,2531.981,1768.539,3519.875
2012-02-14,2344.771,9543.775,712.296,2522.107,1758.984,3524.625
2012-02-15,2366.702,9673.439,724.751,2549.607,1773.169,3578.149
2012-02-16,2356.86,9622.83,721.832,2536.074,1761.877,3577.202
2012-02-17,2357.181,9615.339,717.797,2537.086,1765.652,3565.306
2012-02-20,2363.597,9616.649,721.099,2540.706,1769.412,3574.458
2012-02-21,2381.43,9695.87,736.882,2562.453,1779.94,3618.302
2012-02-22,2403.587,9862.535,759.562,2597.476,1795.26,3689.004
2012-02-23,2409.554,9918.942,756.897,2606.256,1799.644,3700.888
2012-02-24,2439.628,10124.154,762.29,2648.017,1826.716,3756.825
2012-02-27,2447.057,10177.332,760.373,2656.573,1828.408,3764.326
2012-02-28,2451.857,10161.86,747.768,2662.463,1839.055,3745.58
2012-02-29,2428.487,10054.845,735.336,2634.143,1822.769,3696.144
2012-03-01,2426.115,10060.957,743.148,2633.345,1818.279,3715.673
2012-03-02,2460.693,10299.935,757.669,2679.934,1843.848,3794.416
2012-03-05,2445.002,10226.438,759.369,2662.698,1827.938,3798.377
2012-03-06,2410.445,10093.814,750.837,2621.052,1794.264,3760.585
2012-03-07,2394.794,10054.865,749.266,2603.005,1776.363,3732.707
2012-03-08,2420.276,10171.128,761.703,2635.791,1798.1,3791.827
2012-03-09,2439.462,10334.384,777.694,2664.302,1811.486,3848.108
2012-03-12,2434.859,10300.503,786.049,2654.402,1796.937,3871.12
2012-03-13,2455.795,10427.243,792.378,2681.073,1813.201,3910.064
2012-03-14,2391.23,10094.891,756.459,2605.106,1776.407,3734.317
2012-03-15,2373.774,10086.556,746.441,2585.546,1760.476,3689.014
2012-03-16,2404.736,10279.302,765.562,2623.52,1780.076,3786.617
2012-03-19,2410.184,10296.165,779.557,2630.013,1778.981,3829.696
2012-03-20,2376.839,10116.391,755.583,2584.445,1755.725,3746.284
2012-03-21,2378.195,10090.436,751.791,2587.793,1758.624,3760.047
2012-03-22,2375.772,10038.954,750.851,2583.747,1760.335,3742.388
2012-03-23,2349.539,9885.25,737.892,2552.94,1747.916,3670.129
2012-03-26,2350.599,9946.136,737.213,2555.442,1749.888,3666.279
2012-03-27,2347.179,9841.383,735.734,2547.143,1749.185,3652.876
2012-03-28,2284.881,9531.149,698.486,2474.9,1708.853,3490.007
2012-03-29,2252.16,9418.225,683.959,2443.122,1688.09,3425.702
2012-03-30,2262.788,9410.262,678.519,2454.899,1705.633,3416.856
2012-04-05,2302.241,9709.026,697.751,2512.832,1735.283,3531.549
2012-04-06,2306.553,9786.186,701.901,2519.83,1737.512,3554.027
2012-04-09,2285.777,9710.909,689.715,2495.146,1721.426,3512.914
2012-04-10,2305.863,9795.968,697.165,2519.788,1736.24,3554.038
2012-04-11,2308.925,9802.321,698.487,2520.036,1734.594,3566.476
2012-04-12,2350.864,10007.652,713.124,2570.436,1770.947,3640.407
2012-04-13,2359.161,10043.715,718.959,2580.454,1777.068,3675.028
2012-04-16,2357.026,10000.309,716.229,2574.044,1770.679,3685.481
2012-04-17,2334.985,9839.915,709.139,2541.883,1749.4,3631.556
2012-04-18,2380.848,10069.533,723.462,2599.908,1789.627,3714.02
2012-04-19,2378.634,10015.406,725.12,2596.056,1791.382,3704.705
2012-04-20,2406.863,10131.035,728.718,2626.839,1815.882,3736.365
2012-04-23,2388.588,10076.051,690.432,2606.038,1799.907,3691.574
2012-04-24,2388.834,10041.887,681.534,2604.866,1808.859,3666.395
2012-04-25,2406.813,10162.006,682.524,2625.99,1819.217,3718.911
2012-04-26,2404.697,10201.654,678.444,2631.487,1822.206,3700.028
2012-04-27,2396.316,10180.393,685.131,2626.157,1822.542,3664.638
2012-05-02,2438.436,10424.942,693.609,2683.487,1862.755,3718.259
2012-05-03,2440.08,10468.375,699.306,2691.518,1864.295,3733.816
2012-05-04,2452.014,10573.597,713.186,2715.879,1876.658,3758.004
2012-05-07,2451.947,10612.893,733.045,2717.778,1866.619,3784.556
2012-05-08,2448.884,10524.68,731.723,2709.116,1862.401,3783.472
2012-05-09,2408.587,10294.577,719.35,2657.514,1830.132,3717.47
2012-05-10,2410.23,10277.617,727.285,2657.214,1829.607,3731.131
2012-05-11,2394.983,10211.406,721.078,2636.917,1815.732,3715.385
2012-05-14,2380.725,10093.377,719.872,2615.534,1800.503,3710.097
2012-05-15,2374.843,10131.81,720.115,2617.374,1801.064,3705.883
2012-05-16,2346.192,9916.466,709.956,2574.647,1774.243,3660.312
2012-05-17,2378.886,10079.478,716.17,2613.942,1801.11,3714.186
2012-05-18,2344.52,9903.094,706.216,2573.976,1775.572,3655.858
2012-05-21,2348.3,9977.563,704.803,2587.231,1784.943,3653.546
2012-05-22,2373.307,10180.268,714.662,2627.525,1810.411,3711.055
2012-05-23,2363.437,10143.201,713.017,2616.869,1801.466,3708.919
2012-05-24,2350.973,9984.58,712.577,2595.26,1789.434,3678.093
2012-05-25,2333.553,9884.959,702.724,2573.103,1776.376,3635.516
2012-05-28,2361.367,10104.101,706.47,2614.689,1800.913,3687.455
2012-05-29,2389.636,10214.736,720.454,2650.854,1824.429,3745.678
2012-05-30,2384.668,10162.34,727.188,2642.258,1818.385,3752.219
2012-05-31,2372.234,10141.41,734.454,2632.042,1804.593,3753.593
2012-06-01,2373.436,10145.804,734.257,2632.998,1808.527,3744.437
2012-06-04,2308.55,9874.518,717.101,2559.026,1760.955,3621.808
2012-06-05,2311.916,9847.119,715.93,2558.842,1763.7,3617.614
2012-06-06,2309.555,9812.976,715.24,2557.401,1768.575,3600.163
2012-06-07,2293.13,9755.641,711.428,2542.184,1757.766,3581.137
2012-06-08,2281.447,9707.183,713.921,2524.329,1738.587,3564.158
2012-06-11,2305.856,9849.77,734.504,2558.265,1756.031,3630.314
2012-06-12,2289.791,9790.197,735.294,2540.178,1745.454,3608.391
2012-06-13,2318.924,9950.046,746.505,2580.636,1771.422,3674.875
2012-06-14,2295.946,9885.293,740.966,2560.421,1756.301,3652.705
2012-06-15,2306.85,9885.645,742.268,2568.054,1769.492,3648.994
2012-06-18,2316.052,9979.057,752.978,2581.212,1776.244,3684.727
2012-06-19,2300.795,9848.159,747.492,2558.621,1764.881,3657.958
2012-06-20,2292.877,9821.788,748.388,2552.611,1763.631,3636.09
2012-06-21,2260.877,9682.686,739.047,2512.185,1735.336,3590.837
2012-06-25,2224.114,9414.214,720.6,2456.518,1704.567,3493.116
2012-06-26,2222.067,9446.59,715.924,2454.915,1700.499,3489.972
2012-06-27,2216.934,9416.499,718.928,2447.195,1695.031,3476.403
2012-06-28,2195.843,9383.267,711.144,2425.729,1681.384,3427.819
2012-06-29,2225.431,9500.317,726.684,2461.612,1708.856,3470.965
2012-07-02,2226.11,9566.45,741.186,2465.238,1706.168,3509.503
2012-07-03,2229.193,9607.326,743.902,2468.721,1710.412,3515.778
2012-07-04,2227.315,9569.159,739.624,2464.919,1712.937,3497.748
2012-07-05,2201.353,9412.644,724.313,2430.37,1695.356,3418.202
2012-07-06,2223.579,9690.16,737.289,2472.614,1711.579,3486.546
2012-07-09,2170.814,9496.678,722.281,2416.036,1668.022,3398.805
2012-07-10,2164.437,9476.722,713.526,2406.706,1664.424,3365.665
