,date,open,close,high,low,volume,chg_amt
238,2001-12-31,3.93,3.963,3.972,3.925,505.81,0.0
239,2002-01-04,3.949,3.915,3.949,3.901,858.0,-0.012112036336109019
240,2002-01-07,3.878,3.84,3.878,3.83,920.9,-0.019157088122605408
241,2002-01-08,3.845,3.963,3.972,3.84,2071.81,0.03203125000000006
242,2002-01-09,3.925,3.854,3.93,3.83,1426.49,-0.02750441584658087
243,2002-01-10,3.835,3.897,3.901,3.75,1560.02,0.01115723923196671
244,2002-01-11,3.897,3.797,3.897,3.788,927.49,-0.025660764690787697
245,2002-01-14,3.764,3.651,3.764,3.608,1969.0,-0.03845140900711097
246,2002-01-15,3.641,3.523,3.651,3.523,1611.0,-0.03505888797589692
247,2002-01-16,3.528,3.542,3.589,3.433,1497.98,0.005393130854385377
248,2002-01-17,3.457,3.31,3.48,3.301,1555.0,-0.06549971767363065
249,2002-01-18,3.31,3.31,3.343,3.159,3593.3,0.0
250,2002-01-21,3.272,2.979,3.272,2.979,2582.0,-0.09999999999999999
251,2002-01-22,2.979,2.842,3.06,2.837,3049.9,-0.045988586774085266
252,2002-01-23,2.799,3.121,3.126,2.724,4575.29,0.09817030260380011
253,2002-01-24,3.164,3.239,3.324,3.135,4673.83,0.037808394745273914
254,2002-01-25,3.249,3.239,3.296,3.173,4266.41,0.0
255,2002-01-28,3.216,2.951,3.253,2.946,3545.6,-0.08891633220129665
256,2002-01-29,2.932,3.083,3.093,2.908,2164.77,0.04473059979667913
257,2002-01-30,3.121,3.183,3.211,3.05,2458.06,0.032435939020434526
258,2002-01-31,3.216,3.428,3.462,3.216,7370.16,0.07697141061891301
259,2002-02-01,3.428,3.395,3.476,3.362,3974.08,-0.009626604434072322
260,2002-02-04,3.381,3.466,3.476,3.348,3058.08,0.020913107511045706
261,2002-02-05,3.405,3.457,3.523,3.405,2702.37,-0.002596653202539048
262,2002-02-06,3.452,3.343,3.452,3.339,1936.5,-0.03297656927972227
263,2002-02-07,3.343,3.457,3.476,3.32,2675.74,0.03410110679030807
264,2002-02-08,3.499,3.452,3.556,3.443,2616.0,-0.0014463407578825264
265,2002-02-25,3.547,3.627,3.726,3.542,6119.0,0.050695249130938536
266,2002-02-26,3.632,3.688,3.693,3.499,3007.43,0.016818307140887893
267,2002-02-27,3.684,3.651,3.722,3.599,2935.0,-0.010032537960954546
268,2002-02-28,3.547,3.537,3.603,3.523,2480.99,-0.031224322103533247
269,2002-03-01,3.514,3.504,3.547,3.499,1587.0,-0.009329940627650529
270,2002-03-04,3.499,3.594,3.594,3.499,1615.97,0.025684931506849275
271,2002-03-05,3.608,3.655,3.688,3.608,3250.25,0.01697273233166387
272,2002-03-06,3.641,3.688,3.783,3.641,5816.35,0.009028727770177939
273,2002-03-07,3.688,4.01,4.02,3.688,11675.3,0.08731019522776562
274,2002-03-08,4.043,4.001,4.109,3.882,11833.14,-0.002244389027431285
275,2002-03-11,4.01,4.105,4.109,3.963,9832.28,0.025993501624593872
276,2002-03-12,4.114,3.991,4.124,3.986,9010.43,-0.027771010962241244
277,2002-03-13,3.925,3.859,4.001,3.854,4690.28,-0.033074417439238314
278,2002-03-14,3.859,3.967,3.996,3.859,4229.35,0.02798652500647839
279,2002-03-15,3.982,3.854,4.048,3.854,4928.14,-0.028485001260398282
280,2002-03-18,3.901,3.83,3.972,3.759,7597.11,-0.006227296315516352
281,2002-03-19,3.83,4.109,4.114,3.731,18705.79,0.07284595300261094
282,2002-03-20,4.209,4.516,4.521,4.161,70084.29,0.0990508639571672
283,2002-03-21,4.469,4.464,4.615,4.398,42799.56,-0.011514614703277148
284,2002-03-22,4.464,4.436,4.492,4.388,14529.47,-0.006272401433691861
285,2002-03-25,4.516,4.544,4.63,4.44,16160.79,0.024346257889990904
286,2002-03-26,4.563,4.44,4.582,4.436,9783.27,-0.0228873239436618
287,2002-03-27,4.426,4.388,4.45,4.332,7901.6,-0.011711711711711821
