date,预测平均值:GDP:累计同比,预测平均值:工业增加值:当月同比,预测平均值:CPI:当月同比,预测平均值:PPI:当月同比,预测平均值:固定资产投资:累计同比,预测平均值:社会消费品零售总额:当月同比,预测平均值:出口金额:当月同比,预测平均值:进口金额:当月同比,预测平均值:贸易差额:当月值,预测平均值:M2:同比,预测平均值:人民币贷款:同比,预测平均值:人民币贷款:当月新增,预测平均值:1年期存款利率,预测平均值:1年期贷款利率,CPI:当月同比,RPI:当月同比,PPI:全部工业品:当月同比,CGPI:当月同比,M1:同比,M2:同比,人民币存款准备金率:大型存款类金融机构(月),人民币存款准备金率:中小型存款类金融机构(月),官方储备资产:外汇储备,宏观经济景气指数:预警指数,宏观经济景气指数:一致指数,宏观经济景气指数:先行指数,宏观经济景气指数:滞后指数,消费者信心指数(月),消费者满意指数(月),消费者预期指数(月),全国居民收入基尼系数
2002/1/4,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2002/1/7,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2002/1/8,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2002/1/9,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2002/1/10,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2002/1/11,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2002/1/14,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2002/1/15,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2002/1/16,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2002/1/17,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2002/1/18,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2002/1/21,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2002/1/22,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2002/1/23,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2002/1/24,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2002/1/25,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2002/1/28,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
